"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 16, 2021","143.30","143.44","143.57","142.70","5.85M","-0.02%"
"Apr 15, 2021","143.33","142.20","143.44","142.18","5.51M","1.72%"
"Apr 14, 2021","140.91","142.40","142.47","140.64","5.61M","-1.06%"
"Apr 13, 2021","142.42","141.63","142.53","141.37","5.66M","0.94%"
"Apr 12, 2021","141.09","141.19","141.54","140.40","7.95M","-0.48%"
"Apr 09, 2021","141.77","139.91","141.81","139.66","4.70M","0.96%"
"Apr 08, 2021","140.42","139.72","140.45","139.48","7.07M","1.44%"
"Apr 07, 2021","138.42","137.58","138.66","137.08","5.04M","0.53%"
"Apr 06, 2021","137.69","138.06","138.51","137.23","5.66M","-0.43%"
"Apr 05, 2021","138.28","136.27","138.52","136.09","6.43M","2.07%"
"Apr 01, 2021","135.48","134.26","135.49","134.13","7.18M","2.01%"
"Mar 31, 2021","132.81","131.73","133.62","131.62","7.72M","1.59%"
"Mar 30, 2021","130.73","131.05","131.19","129.94","6.62M","-0.95%"
"Mar 29, 2021","131.98","132.27","132.64","130.98","8.66M","-0.52%"
"Mar 26, 2021","132.67","129.31","132.81","129.26","7.44M","2.54%"
"Mar 25, 2021","129.38","128.69","129.96","127.72","11.29M","-0.06%"
"Mar 24, 2021","129.46","131.84","131.86","129.44","7.10M","-1.21%"
"Mar 23, 2021","131.05","132.23","132.81","130.70","6.46M","-0.62%"
"Mar 22, 2021","131.87","130.02","132.51","129.81","7.99M","1.75%"
"Mar 19, 2021","129.60","130.02","130.59","128.98","13.61M","-0.30%"
"Mar 18, 2021","129.99","131.87","132.09","129.83","8.79M","-2.77%"
"Mar 17, 2021","133.70","132.73","134.50","131.72","9.68M","-0.08%"
"Mar 16, 2021","133.81","133.83","135.09","133.24","6.55M","0.75%"
"Mar 15, 2021","132.81","131.51","132.89","130.99","8.29M","1.07%"
"Mar 12, 2021","131.41","130.78","131.45","129.94","6.22M","-0.72%"
"Mar 11, 2021","132.36","131.54","133.18","131.26","6.68M","2.14%"
